Acronym,Hypothesis,Definition,Origin,Behavioral traits,Phenological traits,Life history traits,"Other Species traits, e.g. morphological, physiological",Trait evolution = Evolution,Niche shift,Abundance / density,Community composition,Grouping : Species interactions,Enemies,Mutualism,Competition,Phylogenetic distance,Functional novelty,Habitat quality,Ecosystem functioning and services,Grouping : Abiotic,Artificial light,Noise,Climatic changes (e.g. heat island),Pollution,Nutrients,"Fragmentation, habitat loss and isolation",Altered hydrological regimes,Novel organisms,"Novel community composition and structure (other than addition of novel organisms, e.g. change in predators)",Human presence & intervention = human interference = propagule pressure + other human actions,Propagule pressure,in general,Habitat modification,Resources,Other ecosystem properties,in general ,Cities are ecosystems,Cities are spatially heterogeneous,Cities are dynamic,Human and natural processes interact in cities,Ecological processes are still at work and are important in cities,Which species are more successful in cities than other species?,Does urbanization accelerate temporal processes?,What determines urban biodiversity patterns (defined in a broad sense)?,What determines the impact(s) of nonnative species?,What are the impacts of nonnative species?,Which taxa are impactful invaders?,What determines the invasibility of ecosystems?,What determines the invasion success of nonnative species?,What are the introduction pathways of nonnative species?,What determines a successful introduction of nonnative species?,How can we successfully control invasive species?,How can we mitigate the impact of invasive species?,Climate change biology,Community and population ecology,Behavioral ecology,Biogeography,Evolutionary biology,Restoration or conservation ecology,Genetics,,Comments RV,General comments attributes
AA,Acoustic adaptation*,Animals that communicate acoustically adapt their vocalisations to the local conditions to optimise signal transmission.,SL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,
ADP,Adaptation,The invasion success of non-native species depends on the adaptation to the conditions in the exotic range before and/or after the introduction. Non-native species that are related to native species are more successful in this adaptation,ME + ED,0,0,0,0,0,0,0,1,1B,B,B,B,A,A,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,B,B,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
AIAI,Anthropogenically induced adaptation to invade, Anthropogenically induced adaptation to invade can facilitate invasion and invasiveness of an organism or population.,ED,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
ALLEE,allee effect,"The Allee effect, a positive association between fitness and population size, can cause a lag between introduction of non-native species and establishment in abundant populations.",ED,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
ANHO,Adaptation to homogenized anthropogenic environments, Adaptation to homogenized anthropogenic environments can serve as a form of preadaptation of the organism to homogenous human-altered habitats globally (Hufbauer et al. 2012).,ED,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,TH: yellow cells seem ok to me; but maybe '1' also for phenology?
ANOP,opportunity for anthropogenic transport, Species associated with humans are more likely to become invasive because of their increased opportunity for anthropogenic transport (Hufbauer et al. 2012). See also HCOM.,ED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,"TH: would vote for '0' in the first yellow cell, the others seem ok to me"
ANTR,anthropogenic transportation,"The increasing global abundance of invasive species is related to anthropogenic transportation through inter- and intra-continental exchanges (Perrings et al. 2005, Seebens et al. 2017).",ED,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,TH: I would keep the '1' in the yellow cell
BA,Biotic acceptance aka ‘the rich get richer’,Ecosystems tend to accommodate the establishment and coexistence of non-native species despite the presence and abundance of native species,ME + ED,0,0,0,0,0,0,0,1,1B,B,B,B,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,A,B,A,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,
BC,Biodiverse cities*,Cities can sustain and promote biodiversity. ,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,pink cell: presence of non-native species ,
BEHAV,behaviourally constrained,"Invasion may be inhibited when non-native species are behaviourally constrained and require adaptations before recognizing and readily consuming, evading, or outcompeting an introduced population (Lankau et al. 2004).",ED,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,
BF,Behavioral flexibility,Urban dwellers are characterized by a higher behavioral flexibility than urban avoiders.,SL,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,,
BID,Biotic indirect effects,Non-native species benefit from different indirect effects triggered by native species,ME + ED,0,0,0,0,0,0,0,0,1,A,A,A,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,B,B,B,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
BIOME,Biomes,Biomes differ in their inherent invasibility because of biotic and abiotic differences (Hui and Richardson 2017).,ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
BR,Biotic resistance aka diversity-invasibility hypothesis,An ecosystem with high biodiversity is more resistant against non-native species than an ecosystem with lower biodiversity,ME + ED,0,0,0,0,0,0,0,0,1,A,C,A,C,C,1,1,0,0,0,0,0,0,0,0,0,0,0,C,0,C,C,C,0,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,"pink cell: ""because more niches are already filled"" (Daly's definition) ",TH: The yellow cells could stay as they are in my opinion; Pink cell: I rather vote for keeping the 'c'
BW,Biodiversity-wealth*,The socioeconomic status of urban residents is positively related to the biodiversity in their neighbourhoods.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
CC,Credit card,"Low variability in resource abundance and reduced predation allow higher population densities in urban areas through the persistence of many weak competitors who remain in poor body condition, who are less reproductively successful, and who would not otherwise survive.",SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,pink cell: highly predictable environment managed by humans,
CCP,C-competitor Plants* ,C-competitor Plants are being selected in urban landscapes.,SL,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
CEP,Cities as entry points,Cities are entry points for introduced non-native species.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,
CLIM,Climate change,Climate change facilitates invasion of non-native species adapted to the new environmental conditions and exacerbate their impacts. ,ED,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,
CP,Colonization pressure,"Colonization pressure is defined as the number of species introduced to a given location. As colonization pressure increases, the number of established or invasive non-native species in that location is predicted to increase",ME + ED,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,
DEM,Dynamic equilibrium model,"The establishment of a non-native species depends on natural fluctuations of the ecosystem, which influence the level of competition from local species",ME + ED,0,0,0,0,0,1,0,0,1,C,C,A,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,B,B,A,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
DIST,Disturbance,The invasion success of non-native species is higher in highly disturbed than in relatively undisturbed ecosystems,ME + ED,0,0,0,0,B,0,0,1,1,A,A,A,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,C,C,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,pink cell: niches are not occupied,
DN,Darwin’s naturalization,The invasion success of non-native species is higher in areas that are poor in closely related species than in areas that are rich in closely related species,ME + ED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,
DP,Decay paradigm,Species richness declines within patches of remnant native habitat isolated within an urban matrix; habitat-dependent (such as ‘forest interior’) species are expected to suffer a progressive series of local extinctions over time.,SL,0,0,0,0,0,0,0,0,0,C,C,C,C,C,1,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,A,A,A,0,,,,,,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
DS,Matrix species,Urban habitat remnants are more sensitive to the penetration of matrix species than less disturbed suburban or rural remnants.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,
EA,Epigenetic adaptation*,Epigenetic mechanisms can explain why some organisms are more successful in urban than non-urban areas.,SL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,
EAU,Exotic richness increases with age of urbanization,﻿The diversity of exotic species will increase with the age of an urbanized area.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,TH: the yellow cells are ok in my opinion
EE,Enemy of my enemy,Introduced enemies of a non-native species are less harmful to the non-native than to the native species,ME,0,0,0,0,0,1,0,0,1,A,C,A,C,C,0,0,0,0,0,0,0,0,0,0,1,1,1B,B,0,C,C,C,0,,,,,,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
EF,Environmental filter,Urban habitats filter communities as a function of their traits.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
EI,Enemy inversion,"Introduced enemies of non-native species are less harmful for them in the exotic than the native range, due to altered biotic and abiotic conditions",ME + ED,0,0,0,0,0,0,0,0,1B,B,B,B,C,C,1,0,0,0,0,0,0,0,0,0,0,0,0,C,0,B,B,B,0,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,pink cells (from B to A): interactions between the non-native species and its enemies,
EICA,Evolution of increased competitive ability,"After having been released from natural enemies, non-native species will allocate more energy in growth and/or reproduction (this re-allocation is due to genetic changes), which makes them more competitive",ME + ED,0,0,1,1,A,1,0,0,1,A,C,A,B,B,0,0,0,0,0,0,0,0,0,0,0,1,0,C,0,C,C,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
EIM,Ecological imbalance,Invasion patterns are a function of the evolutionary characteristics of both the recipient region and potential donor regions. Species from regions with highly diverse evolutionary lineages are more likely to become successful invaders in less diverse regions,ME + ED,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,,,
EINV,ecosystem invasibility,"The successful integration of non-native organisms in a new area depends on the characteristics, or ecosystem invasibility, of the recipient environment.",ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
EMH,enhanced mutualisms,"Introduced species can benefit from novel or enhanced mutualisms with native species, which can increase their performance relative to native populations (Reinhart and Callaway 2006). See also host-jumping and new associations hypothesis (Hui and Richardson 2017).",ED,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,
EN,Empty niche,The invasion success of non-native species increases with the availability of empty niches in the exotic range,ME + ED,0,0,0,0,0,0,0,1,0,C,C,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,A,B,A,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,"pink cells (Phylogenetic distance and Functional novelty), from C to A: empty niches if native species functionally and phylogenetically different, pink cell (Resources), from B to A: empty niches if non-native species takes resources different from native species","TH: I can understand the suggestion for changing the attributes and they make sense - on the other hand I also understand the previous one because the links are not obvious from the definition - to be discussed, I would say"
ENA,Ecological naivety aka evolutionary naivety aka eco-evolutionary naivety,"The impact of a non-native species on biodiversity is influenced by the evolutionary experience of the invaded community. Thus, the largest impacts are caused by species (e.g., predators, herbivores, pathogens) invading systems where no phylogenetically or functionally similar species exist",ME + ED,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,
ENICHE,empty niche as ecological fitting,Specialized interactions in ecological networks may leave niche space unoccupied by inhibiting co-evolution. The empty niches can be exploited by non-native species through ecological fitting.,ED,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,,,
EP,Earlier phenology,Seasonal life cycles tend to start earlier in the urban core than in rural surroundings. ,SL,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,
ER,Enemy release,The absence of enemies in the exotic range is a cause of invasion success,SL + ME + ED,0,0,0,0,0,0,1,0,1,A,C,C,B,B,0,0,0,0,0,0,0,0,0,0,0,1,0,C,0,C,C,C,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
ERD,Enemy reduction,The partial release of enemies in the exotic range is a cause of invasion success,ME + ED,0,0,0,0,0,0,1,0,1,A,C,C,B,B,0,0,0,0,0,0,0,0,0,0,0,1,0,C,0,C,C,C,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
ERH,Enemy release hypothesis in urban core 2: herbivore perspective,"In the absence of their native enemies in the urban core, alien herbivore insects introduced along alien Plants are prone to outbreaks.",SL,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
ERP,Enemy release hypothesis in urban core 1: plant perspective,﻿Decreased regulation by herbivores and other enemies in the city allow exotic Plants to increase in distribution and abundance.,SL,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
ET,Ecological trap,"Habitats preferred over other, higher quality habitats can be low in quality for reproduction or survival and may not sustain a population.",SL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
EVH,Environmental heterogeneity,The invasion success of non-native species is high if the exotic range has a highly heterogeneous environment,ME + ED,0,0,0,0,0,0,0,0,1B,B,B,B,C,C,1,0,1,0,0,0,0,0,1,0,0,0,1B,B,0,B,B,B,0,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,pink cell (from B to A): a heterogeneous environment presents different habitats and therefore different resources,"TH: not sure about the pink cell, since the definition itself does not talk about resources
MBV: I agree with tina: habitat heterogeneity is not necessarily about resources"
FLUC,Fluctuating resources,"Fluctuating resources affect ecosystem invasibility, with unused resources facilitating invasion (Davis et al. 2000).",ED,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
FWR,Food-web reshaping*,"Urban food webs largely lack weak interactions, but the partly disassembled food webs retain a greater density of species interactions (e.g. greater connectance).",SL,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
GBOT,genetic bottleneck,Small founding populations can cause a genetic bottleneck of incipient invasion leading to high inbreeding levels in introduced populations.,ED,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,
GC,Global competition,A large number of different non-native species is more successful than a small number,ME,0,0,0,0,0,0,0,1,1,0,B,A,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1,A,0,C,C,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
GENS,Genetic shifts,Genetic shifts take place in the novel range that facilitate invasion of non-native species.,ED,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
GR,Green roofs,Green roofs promote urban biodiversity.,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
GS,Genetic signatures*,"""Genetic signatures of urban eco-evolutionary feedback can be detected across Multiple taxa and ecosystem functions."" (p. 116 in Alberti 2015)",SL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
GVS,Generalists vs. specialists*,Species richness in urban habitats is low in specialists but high in generalists.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,pink cell: proportion of specialists and generalists,
HAF,Hyperabundance due to anthropogenic food* (aka predator subsidy consumption aka prey hyperabundance),An increase in the proportion of anthropogenic food with urbanization leads to an increase in the abundance of prey as well as mid-sized animals (e.g. mesopredators). ,SL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
HC,Human commensalism,Species that live in close proximity to humans are more successful in invading new areas than other species.,SL + ME + ED,1,0,0,0,0,0,1,0,0,C,C,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1,A,0,A,A,A,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
HD,Habitat diversity,Biodiversity in urban areas is high due to habitat diversity.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
HER,Herbivore proliferation*,"Herbivores may become hyperabundant in urban areas, sometimes leading to pest outbreaks. ",SL,0,0,0,0,A,0,0,0,1B,B,B,B,A,A,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,B,C,C,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
HF,Habitat filtering,The invasion success of non-native species in the new area is high if they are pre-adapted to this area,ME + ED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,
HI,Habitat isolation,More isolated habitat islands have lower species richness. ,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,,,
HP,Homogenization paradigm,"Land cover change in urban areas favours homogenized communities with a high proportion of non-native, ubiquitous species.",SL,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
HREL,human release," Non-native species establishment and expansion can be limited by land-management activities and cessation of these human activities can release non-native species, facilitating expansion.",ED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,,,
HRR,Home range reduction*,Many species maintain smaller home ranges in urban areas.,SL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,pink cell: the niche is smaller,
HS,Shift toward generalist species* aka Habitat specialist,Urban environments typically favor generalists over specialists. ,SL,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
HYBR,Hybridization,Hybridization of introduced species with native or non-native species can promote invasiveness in the novel range.,ED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
IB,Increased boldness ,Animals tend to become bolder in urban than non-urban areas.,SL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
ID,Intermediate disturbance,Biodiversity is high in sites that show intermediate levels of disturbance and decreases with no and high levels of management.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,
IM,Invasional meltdown,"The presence of non-native species in an ecosystem facilitates invasion by additional species, increasing their likelihood of survival or ecological impact",ME + ED,0,0,0,0,0,0,0,1,1,B,A,A,C,C,0,0,0,0,0,0,0,0,0,0,1,1,1,A,0,A,A,A,0,,,,,,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,
