Acronym,Hypothesis,Definition,Origin,Behavioral traits,Phenological traits,Life history traits,"Other Species traits, e.g. morphological, physiological",Trait evolution = Evolution,Niche shift,Abundance / density,Community composition,Grouping : Species interactions,Enemies,Mutualism,Competition,Phylogenetic distance,Functional novelty,Habitat quality,Ecosystem functioning and services,Grouping : Abiotic,Artificial light,Noise,Climatic changes (e.g. heat island),Pollution,Nutrients,"Fragmentation, habitat loss and isolation",Altered hydrological regimes,Novel organisms,"Novel community composition and structure (other than addition of novel organisms, e.g. change in predators)",Human presence & intervention = human interference = propagule pressure + other human actions,Propagule pressure,in general,Habitat modification,Resources,Other ecosystem properties,in general ,Cities are ecosystems,Cities are spatially heterogeneous,Cities are dynamic,Human and natural processes interact in cities,Ecological processes are still at work and are important in cities,Which species are more successful in cities than other species?,Does urbanization accelerate temporal processes?,What determines urban biodiversity patterns (defined in a broad sense)?,What determines the impact(s) of nonnative species?,What are the impacts of nonnative species?,Which taxa are impactful invaders?,What determines the invasibility of ecosystems?,What determines the invasion success of nonnative species?,What are the introduction pathways of nonnative species?,What determines a successful introduction of nonnative species?,How can we successfully control invasive species?,How can we mitigate the impact of invasive species?,Climate change biology,Community and population ecology,Behavioral ecology,Biogeography,Evolutionary biology,Restoration or conservation ecology,Genetics,,Comments RV,General comments attributes
IMD,imperialism,"Eurasian species have better invasion success relative to other species because of coevolution with Europeans and their associated species, which were globally dispersed during European imperialism.",ED,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,,
INBRE,inbreeding,"Inbreeding in introduced populations can lead to inbreeding depression, potentially inhibiting long term establishment and expansion.",ED,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
IRA,Increased resource availability,The invasion success of non-native species increases with the availability of resources,ME,0,0,0,0,0,0,0,0,1,0,0,A,C,C,1,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,0,A,A,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
IS,Non-native species hypothesis* aka Invader species,Non-native species richness increases with urbanization.,SL,0,0,0,0,B,0,0,0,1B,B,C,B,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,C,C,C,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,pink cell (from B to A): competition that determines the establishment or not of the non-native species ,
ISH,Island susceptibility hypothesis,Non-native species are more likely to become established and have major ecological impacts on islands than on continents,ME + ED,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,
ISU,Increased susceptibility,"If a non-native species has a lower genetic diversity than the native species, there will be a low probability that the non-native species establishes itself",ME,0,0,0,0,0,0,0,0,1,A,C,A,C,C,1,0,0,0,0,0,0,0,0,0,0,1,B,C,0,C,B,B,0,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,
IUD,Ideal urban dweller*,There are specific traits that make species successful in urban ecosystems.,SL,1,1,1,1,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,1,C,C,C,0,1,0,0,1,0,1,0,1,,,,,,,,,,0,1,1,0,1,0,0,,,
IW,Ideal weed,"The invasion success of a non-native species depends on its specific traits (e.g., life-history traits)",ME + ED,1,1,1,1,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,C,C,C,1,,,,,,,,,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,,,
LGT,Length of generation times,Species with shorter generation times might adapt faster to the urban environment.,SL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
LOF,Landscape of fear,Animals adjust their behavior and activity to avoid humans spatio-temporally.,SL,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,pink cells: the hypothesis is not at the population or community level,
LS,Limiting similarity,"The invasion success of non-native species is high if they strongly differ from native species, and low if they are similar to native species",ME + ED,0,0,0,0,B,0,0,1,1B,B,B,B,A,A,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,C,C,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,pink cell (from C to A): if functionally and phylogenetically different species then different niches and different resource consumption,
LSI,Light at night - social interaction*,Light pollution alters social interactions and group dynamics of animals.,SL,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,"pink cell: in order to be coherent, for the hypothesis ""Acoustic Adaptation"" the link between noise pollution and human presence has been annotated by a 0",
MDH,disrupt mutualistic,Invasive populations can disrupt mutualistic interactions between native species in their introduced ranges. Disruptions may also take place at the community scale (‘Keystone Mutualist Hypothesis' (Gilbert 1980)).,ED,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
ME,Microbiota exposure,Urbanization reduces exposure of humans to environmental microbiota.,SL,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,
MM,Missed mutualisms,"In their exotic range, non-native species suffer from missing mutualists",ME + ED,0,0,0,0,0,0,0,1,1,C,A,C,C,C,0,0,0,0,0,0,0,0,0,0,0,1,1B,B,0,C,C,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
NAS,New associations,New relationships between non-native and native species can positively or negatively influence the establishment of the non-native species,ME + ED,0,0,0,0,0,0,0,1,1B,B,B,B,C,C,0,0,0,0,0,0,0,0,0,0,0,1,1B,B,0,C,C,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,pink cells (from B to A): the interactions are at the center of the hypothesis,
NC,Novel communities,Urban environments have novel communities that do not exist in natural environments.,SL,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,
NCONS,Native consumers,Invasion may be inhibited when non-native species are at increased susceptibility to consumption due to consumer preference and lack of effective defences.,ED,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,,
NHA,Nonnative species richness increases in response to human activity,Nonnative species increase with human impact hemeroby in cities (functional dimension),SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,,,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,
NICHER,residents,"Non-native species similar to residents can become ‘sleeper' invasives, waiting for disturbance to facilitate expansion, as similarity ensures habitat suitability. See also the concept of ‘invasion debt'.",ED,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
NNS,Non-native substitution*,Nonnative Plants in urban areas can sometimes substitute the loss of ressources provided by native Plants.,SL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,
NRU,Nonnative species richness increases along the rural-urban gradient,Nonnative species increase along the rural-urban gradient spatial dimension,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,
NW,Novel weapons,"In the exotic range, non-native species can have a competitive advantage against native species because they possess a novel weapon, that is, a trait that is new to the resident community of native species and, therefore, affects them negatively",ME + ED,0,0,0,0,A,0,0,0,1,A,C,A,A,A,0,0,0,0,0,0,0,0,0,0,0,1,1B,B,0,C,C,C,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,,
OPH,Opportunism hypothesis for invasive species,Invasive species are better able to exploit niche opportunities generated by human activities than most native species.,SL,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
OW,Opportunity windows,"The invasion success of non-native species increases with the availability of empty niches in the exotic range, and the availability of these niches fluctuates spatio-temporally",ME + ED,0,0,0,0,0,0,0,0,0,C,C,C,C,C,1,0,0,0,0,0,0,0,0,0,0,0,B,C,0,B,A,A,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
PES,﻿Pest outbreaks - defense-free space,"Alien arthropods proliferate on ""naive"" native host Plants.",SL,0,0,0,1,A,0,0,0,1,A,A,A,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,C,C,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
PH,Plasticity hypothesis,Invasive species are more phenotypically plastic than non-invasive or native ones,ME + ED,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,
PHC,High propagule pressure in cities*,A higher proportion of alien taxa in captivity and cultivation leads to an increased propagule pressure in cities.,SL,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
PHS,Plant host switching ,"The abundance of alien Plants in the urban core encourages native arthropods (herbivores, pollinators) to switch from native to alien host.",SL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
PO,Polyploidy hypothesis,"Polyploid organisms, particularly Plants, are predicted to have an increased invasion success, since polyploidy can lead to higher fitness during the establishment phase and/or increased potential for subsequent adaptation",ME,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,
PP,Propagule pressure,A high propagule pressure (a composite measure consisting of the number of individuals introduced per introduction event and the frequency of introduction events) is a cause of invasion success,,0,0,0,0,0,0,1,0,0,C,C,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1,A,0,C,C,C,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,,
PPH,Population pressure hypothesis,Urban habitats serve as sinks for rural dispersers. Continuous gene flow between rural source and urban sink populations prohibits pronounced genetic differentiation.,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,
PR,Predator relaxation,"Predator density, prey mortality and/or prey fearfulness are lower in urban than non-urban areas.",SL,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
PRE,Predator proliferation,Predator densities and/or predation rates are higher in urban than non-urban areas.,SL,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
PS,Prey specialization,"""The diet of carnivorous mesopredators will be increasingly dominated by a few species with urbanization. These prey species will be hyperabundant within cities. The predation rate on prey species that are not hyperabundant will decline with urbanization."" (p. 816 in Fischer et al. 2012)",SL,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
PUC,Preadaptation to urban conditions,"Urban dwellers are preadapted to urban environments, i.e. they already possessed beneficial traits (e.g. drought resistance) outside of cities that are advantageous in urban environments.",SL,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
PURG,purged,"Lethal mutations and part of the mutation load can be purged in small populations (Glémin 2003), such as founding populations of introduced species (Willi et al. 2006).",ED,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,
RA,Rapid adaptation ,Rates of evolutionary change are greater in urbanizing systems.,SL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
RER,Resource-enemy release,"The non-native species is released from its natural enemies and can spend more energy in its reproduction, and invasion success increases with the availability of resources",ME + ED,0,0,1,0,1,0,0,0,1,A,C,A,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,C,A,A,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
RI,Reckless invader aka ‘boom-bust’,A population of a non-native species that is highly successful shortly after its introduction can decline or disappear over time due to different reasons (such as competition with other introduced species or adaptation by native species),ME,0,0,0,0,B,0,0,0,1B,B,B,B,C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,B,B,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
RO,Reproductive output,Urban dwellers generally have a higher reproductive output than urban visitors also outside of cities. ,SL,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
RUH,Resilience of urban hybrid systems*,"""Resilience in urban ecosystems is a function of the patterns of human activities and natural habitats that control and are controlled by both socio-economic and biophysical processes operating at various scales"". (p. 242 in Alberti & Marzluff 2004)",SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,
SAR,Species-area relationship,Species richness and diversity increase with habitat size.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,
SBE,Street barrier effect,Streets act as dispersal barriers.,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,,,
SCE,Street corridor effect,Streets act as dispersal corridors.,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,,,
SDH,Shifting defence hypothesis,"After having been released from natural specialist enemies, non-native species will allocate more energy to cheap (energy-inexpensive) defences against generalist enemies and less energy to expensive defences against specialist enemies (this re-allocation is due to genetic changes); the energy gained in this way will be invested in growth and/or reproduction, which makes the non-native species more competitive",ME + ED,0,0,0,0,B,0,0,0,1,A,C,A,C,C,0,0,0,0,0,0,0,0,0,0,0,1,0,C,0,C,C,C,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,"pink cell (from B to A): evolution in the energy allocation of the organism + ""this re-allocation is due to genetic changes"" (Enders' definition)",
SG,Specialist-generalist,Non-native species are more successful in a new region if the local predators are specialists and local mutualists are generalists,ME + ED,0,0,0,0,0,0,0,1,1,A,A,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1B,B,0,C,C,C,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,
SL,Synanthropy-latitude*,The proportion of synanthropic species in cities increases towards the north.,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
SMS,Shift toward non-migratory species*,Urbanization favors non-migratory species.,SL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
SORT,spatial sorting,Mating between individuals with high dispersal ability at the leading edge of invasion may lead to natural selection and novel phenotypes due to spatial sorting.,ED,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,
SP,Sampling,"A large number of different non-native species is more likely to become invasive than a small number due to interspecific competition. Also, the species identity of the locals is more important than the richness in terms of the invasion of an area",ME,0,0,0,0,0,0,0,1,1,B,B,A,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1,A,0,C,C,B,0,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,TH: I vote for a '1' in the cell you marked yellow
SPILL,spillover,"Introduced species may carry parasites that go on to infect local species (‘spillover') and may also catch and amplify a part of local parasites, then constituting reservoirs for parasite transmission and acting as hosts to ultimately release them into ecosystem (‘spillback').",ED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
SRH,Species richness - HPD (human population density)*,Species richness is positively correlated with human population density.,SL,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
SS,Synanthropic species,The number of synanthropic species increases along the rural-urban gradient.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,TH: I vote for '0' in the yellow cells
SUB,Suburban peak*,Species richness is highest in sub-urban areas; it is lower in urban centers and the (rural) periphery.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
TEN,Tens rule,Approximately 10% of species successfully take consecutive steps of the invasion process,ME,0,0,0,0,0,0,1,0,0,C,C,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,1,A,0,C,C,C,1,,,,,,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,°,,,
TTI,Thermal tolerance increase,Thermal tolerance increases with urbanization.,SL,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,
UA,Urban avoiders,"Urban avoiders have a reduced ability to adapt, compete and/or reproduce in cities. ",SL,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,,"pink cells: the term ""compete"" is in the definition of the hypothesis",
UBH,Urban biotic homogenization,Species composition of different cities will become more and more similar as urbanization increases.,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,"pink cell (Habitat quality): depending on the proportion of urbanization, 'as urbanization increases' in the definition of the hypothesis. Pink cell (novel organism): ""urbanization leads to the [...] invasion by other species""",
UCH,Urban core herbivore decline*,The abundance of alien Plants in the urban core tends to reduce the richness and abundance of native herbivore insects incapable of using non-native Plants.,SL,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
UDD,Urban density-diversity paradox* ,"Diversity typically increases as the number of individuals increase in biological communities. Urban environments, however, tend to be characterized by lower biodiversity than wildlands despite high population densities. ",SL,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
UEC,Urban ecosystem convergence,All ecosystems types respond to urban land use in a convergent manner (in other words: urban ecosystems are convergent regardless of the original ecosystem they replaced).,SL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,
UEE,Urban eco-evolutionary mechanisms*,"Through urbanization, humans mediate the interactions and feedback between evolution and ecology in subtle ways by introducing changes in habitat, biotic interactions, heterogeneity, novel disturbance, and social interactions. (p. 116 in Alberti 2015) ",SL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
UEF,Urbanization ecosystem functioning*,Urbanization leads to a reduction in ecosystem functions and services.,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
UEI,"""Urban effect"" on invasion","The number of non-native species moving through each invasion stage (transport, introduction, esttablishment, spread) is higher in urban areas than in natural environments.",SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,
UF,Urban fragmentation,Urbanization leads to a loss of genetic variation within and increased differentiation between populations,SL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,
UHA,Urban habitat analogues*,Native species can switch to urban habitats.,SL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,pink cell: broad driver of change,
UHS,Urban biodiversity hot spots*,Cities are often located in areas of high biodiversity and urbanization is disproportionally higher in areas with high biodiversity.,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,
UMR,Urban mesopredator release*,"""The abundance of large-bodied predators will decline with urbanization, whereas the abundance of mesopredators will increase."" (p. 816 in Fischer et al. 2012)",SL,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
URCLM,urban climate, Urban adapted species may be more likely to become invasive because they may be better adapted to future environments because of urban climate conditions (Borden and Flory 2021),ED,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,TH: yellow cells seem ok to me
URCM,Urban competition,"Urban competition may increase competitiveness of urban adapted species, which may facilitate their success as invaders (Borden and Flory 2021).",ED,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,TH: The yellow cells could stay as they are in my opinion
USI,Urban ecosystems as source of innovation*,"""The hybrid nature of urban ecosystems – resulting from co-evolving human and natural systems – is a source of ‘innovation’ in eco-evolutionary processes. "" (p. 117 in Alberti 2015)",SL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
UST,Urban sexual traits*,"In urban environments, species show shifts in several traits related to sexual selection (particularly in their coloration, acoustic signals including songs and calls, hormones, pheromones, mating behaviour).",SL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,
UT,Urbanization tolerance,Biodiversity loss in cities is largely associated with a low tolerance of species to urbanization.,SL,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
XE,Xerophility,The abundance of xerophilous species is increasing with urbanization. ,SL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,,