hyp,abb,Propagule pressure ,Global competition ,Sampling ,Ideal weed ,Reckless invader aka “boom-bust” ,Enemy release ,Enemy reduction ,Enemy of my enemy,Enemy inversion ,Increased susceptibility ,Evolution of increased competitive ability ,Specialist-generalist ,New associations ,Missed mutualisms ,Biotic indirect effects ,Invasional meltdown ,Biotic resistance aka diversity-invasibility hypothesis ,Novel weapons ,Limiting similarity ,Habitat filtering ,Environmental heterogeneity ,Increased resource availability ,Disturbance ,Dynamic equilibrium model ,Empty niche ,Opportunity windows ,Adaptation ,Resource-enemy release ,Darwin’s naturalization ,Human commensalism ,Tens rule ,Island susceptibility hypothesis ,Biotic acceptance aka “the rich get richer” ,Shifting defence hypothesis ,Plasticity hypothesis ,Colonization pressure,Ecological imbalance ,Ecological naivety ,Polyploidy hypothesis 
Propagule pressure,PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global competition,GC,0.714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling,SP,0.678571429,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal weed,IW,0.103448276,0.142857143,0.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reckless invader aka “boom-bust”,RI,0.103448276,0.035714286,0.111111111,0.310344828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy release,ER,0.034482759,0.035714286,0.037037037,0.034482759,0.379310345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy reduction,ERD,0.034482759,0.035714286,0.037037037,0.034482759,0.379310345,0.931034483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy of my enemy aka accumulation-of-local-pathogens hypothesis,EE,0,0,0,0.034482759,0.172413793,0.75862069,0.75862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy inversion,EI,0,0,0,0.034482759,0.206896552,0.862068966,0.827586207,0.896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased susceptibility,IS,0.24137931,0.107142857,0.148148148,0.24137931,0.137931034,-0.137931034,-0.137931034,-0.103448276,-0.103448276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution of increased competitive ability,EICA,0.034482759,0.035714286,0.038461538,0.034482759,-0.103448276,0.75862069,0.724137931,0.413793103,0.586206897,0.137931034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specialist-generalist,SG,0,0,0.074074074,0.137931034,0.137931034,0.862068966,0.827586207,0.310344828,0.206896552,0.068965517,0.24137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New associations,NAS,0.034482759,0.071428571,0.259259259,0,0.586206897,0.275862069,0.275862069,0.620689655,0.448275862,0.172413793,0.206896552,0.689655172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missed mutualisms,MM,0.034482759,0.071428571,0,0.068965517,0.137931034,0.344827586,0.24137931,0.137931034,0.172413793,0.034482759,0.068965517,0.517241379,0.586206897,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic indirect effects,BID,0,0.037037037,0.185185185,0.035714286,0.178571429,0.214285714,0.25,0.642857143,0.428571429,0,0.178571429,0.25,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Invasional meltdown,IM,0.034482759,0.75,0.333333333,0.034482759,-0.172413793,0.034482759,0.034482759,0.310344828,0.275862069,0.034482759,0,0.034482759,0.310344828,0.275862069,0.321428571,,,,,,,,,,,,,,,,,,,,,,,,
Biotic resistance aka diversity-invasibility hypothesis,BR,0.034482759,0.035714286,0.259259259,0.034482759,0.137931034,0.172413793,0.172413793,0.103448276,-0.103448276,0.172413793,-0.034482759,0.172413793,0.275862069,-0.103448276,-0.571428571,-0.24137931,,,,,,,,,,,,,,,,,,,,,,,
Novel weapons,NW,0,0.035714286,0.074074074,0.75862069,0.24137931,0.172413793,0.137931034,0.24137931,0.137931034,0,0.24137931,0.068965517,0.310344828,-0.034482759,0.214285714,0.103448276,-0.103448276,,,,,,,,,,,,,,,,,,,,,,
Limiting similarity,LS,0.034482759,0.107142857,0.296296296,0.24137931,0,0.137931034,0.068965517,0.068965517,0,-0.034482759,0.034482759,-0.137931034,0.172413793,-0.24137931,0.071428571,0,0.413793103,0.517241379,,,,,,,,,,,,,,,,,,,,,
Habitat filtering,HF,0.034482759,0.178571429,0.111111111,0.517241379,0.034482759,-0.034482759,0.068965517,0.034482759,0,0.172413793,0.034482759,0.137931034,0,0.103448276,0,0,0.034482759,-0.068965517,-0.482758621,,,,,,,,,,,,,,,,,,,,
Environmental heterogeneity,EVH,0.068965517,0.035714286,0.037037037,0.103448276,0.034482759,0,0,0,0.034482759,0.034482759,0,0,0,0,0,-0.034482759,0.206896552,0,0.103448276,0.310344828,,,,,,,,,,,,,,,,,,,
Increased resource availability,IRA,0,0,0,0.137931034,0.137931034,0,0,0.034482759,0.034482759,0,0.034482759,0,0.034482759,0,0.071428571,0.034482759,0.172413793,0,0.068965517,0.103448276,0.551724138,,,,,,,,,,,,,,,,,,
Disturbance,DS,0.172413793,0.071428571,0.111111111,0.24137931,0.103448276,0,0.034482759,0,0,0,0,0,0,0.034482759,0.035714286,0.310344828,0.137931034,0.034482759,0.034482759,0.206896552,0.689655172,0.689655172,,,,,,,,,,,,,,,,,
Dynamic equilibrium model,DEM,0.137931034,0,0.148148148,0,0.75862069,0,0,0,0.137931034,0,0.034482759,0,0.068965517,0,0.178571429,0.034482759,0.137931034,0,0.137931034,0.137931034,0.689655172,0.586206897,0.689655172,,,,,,,,,,,,,,,,
Empty niche,EN,0.068965517,0.107142857,0.222222222,0.137931034,0.034482759,0.068965517,0.068965517,0.034482759,0,0,0,0,0.034482759,0.034482759,0.035714286,0.206896552,0.655172414,0.172413793,0.827586207,0.137931034,0.655172414,0.655172414,0.724137931,0.793103448,,,,,,,,,,,,,,,
Opportunity windows,OW,0.310344828,0.142857143,0.148148148,0.034482759,0.344827586,0.034482759,0.034482759,0.034482759,0.034482759,0,0,0,0,0.034482759,0.035714286,0.172413793,0.344827586,0.068965517,0.310344828,0.206896552,0.724137931,0.655172414,0.724137931,0.896551724,0.931034483,,,,,,,,,,,,,,
Adaptation,ADP,0.068965517,0.107142857,0.222222222,0.448275862,0.103448276,-0.103448276,-0.103448276,0.137931034,0.172413793,0.310344828,0.24137931,0.137931034,0.103448276,0.137931034,0.071428571,0.068965517,-0.103448276,0.24137931,-0.551724138,0.896551724,0.172413793,0.034482759,0.103448276,0.068965517,0.172413793,0.137931034,,,,,,,,,,,,,
Resource-enemy release,RER,0,0,0,0.068965517,0.103448276,0.931034483,0.827586207,0.344827586,0.448275862,0,0.724137931,0.310344828,0.103448276,-0.068965517,0.107142857,0.034482759,0.068965517,0.137931034,0.068965517,-0.034482759,0.137931034,0.655172414,0.24137931,0.137931034,0.206896552,0.24137931,-0.068965517,,,,,,,,,,,,
Darwin’s naturalization,DN,0.068965517,0.107142857,0.296296296,0.103448276,0,0.214285714,0.137931034,0.034482759,0.034482759,0.107142857,0.068965517,0.137931034,0.137931034,-0.206896552,0.107142857,0,0.689655172,0.482758621,0.862068966,-0.344827586,0,0.034482759,0.068965517,0,0.551724138,0.275862069,-0.689655172,0.034482759,,,,,,,,,,,
Human commensalism,HC,0.551724138,0.107142857,0.074074074,0.551724138,0.068965517,0.068965517,-0.034482759,0.034482759,-0.034482759,0,0.034482759,0.068965517,0.068965517,0.034482759,0.035714286,0.068965517,0.034482759,-0.034482759,0,0.24137931,0.137931034,0.24137931,0.655172414,0.068965517,0.172413793,0.206896552,0.379310345,-0.034482759,0,,,,,,,,,,
Tens rule,TEN,0.464285714,0.62962963,0.346153846,0.137931034,0,0,0,0,0,0.068965517,0,0,0,0.034482759,0,0,0,0.034482759,0,0.034482759,0,0,0,0.034482759,-0.034482759,0.068965517,0.068965517,0,0,0.068965517,,,,,,,,,
Island susceptibility hypothesis,ISH,0.068965517,0.071428571,0.148148148,0,0,0.24137931,0.137931034,0.137931034,0.103448276,0.034482759,0.103448276,0.068965517,0.172413793,-0.068965517,0.068965517,0.034482759,0.379310345,0.103448276,0.310344828,0.172413793,0.068965517,0.103448276,0,0,0.551724138,0.103448276,0.034482759,0.034482759,0.310344828,0.068965517,0,,,,,,,,
Biotic acceptance aka “the rich get richer”,BA,0.034482759,0.107142857,0.222222222,0.034482759,0.068965517,-0.034482759,-0.034482759,-0.034482759,-0.034482759,-0.068965517,0,0.068965517,0.172413793,0.137931034,0.275862069,0.310344828,-0.793103448,-0.034482759,-0.275862069,0.103448276,0.310344828,0.344827586,0.103448276,0.034482759,-0.551724138,-0.103448276,0.103448276,0.068965517,-0.24137931,0.034482759,-0.103448276,-0.172413793,,,,,,,
Shifting defence hypothesis,SDH,0,0.035714286,0,0.068965517,-0.103448276,0.75862069,0.689655172,0.344827586,0.517241379,0.137931034,0.931034483,0.24137931,0.310344828,0.034482759,0.206896552,0.034482759,0,0.103448276,0.034482759,0,0,0.034482759,0,-0.034482759,0.034482759,0.034482759,0.103448276,0.689655172,0.068965517,0,0,0,0,,,,,,
Plasticity hypothesis,PH,0,0.035714286,0,0.724137931,0.103448276,0.034482759,0.034482759,0,0,0.275862069,0.275862069,0.068965517,0.068965517,0,0.034482759,0,0,0.034482759,0.137931034,0.206896552,0.137931034,0.103448276,0.068965517,0.068965517,0.103448276,0.103448276,0.310344828,0,0,0.103448276,0.034482759,0,0,0.206896552,,,,,
Colonization pressure,CP,0.862068966,0.857142857,0.814814815,0.071428571,-0.035714286,0.035714286,0.071428571,0,0,0.035714286,0.035714286,0.035714286,0,0.107142857,0,0.75862069,-0.214285714,0.035714286,0.107142857,0.107142857,0.071428571,0,0.071428571,0,-0.071428571,0.178571429,0.142857143,0,0.035714286,0.035714286,0.689655172,0.071428571,0.142857143,0,0.035714286,,,,
Ecological imbalance,EIM,0.035714286,0.185185185,0.230769231,0.310344828,0.107142857,0.25,0.25,0.071428571,0.071428571,0.357142857,0.178571429,0.107142857,0.285714286,0.142857143,0.071428571,0.035714286,0.620689655,0.379310345,0.428571429,0.178571429,-0.071428571,0.035714286,0,0,0.321428571,0.142857143,0.25,0.107142857,0.517241379,0.035714286,0.035714286,0.793103448,-0.25,0.071428571,0.037037037,0.142857143,,,
Ecological naivety,ENA,0,0.037037037,0.038461538,0.285714286,0.107142857,0.310344828,0.275862069,0.206896552,0.172413793,0.074074074,0.206896552,0.310344828,0.214285714,0.275862069,0.172413793,0.172413793,0.214285714,0.724137931,0.75862069,-0.24137931,0.035714286,0,0.035714286,0.035714286,0.551724138,0.137931034,-0.586206897,0.24137931,0.689655172,0.035714286,0.035714286,0.586206897,-0.178571429,0.178571429,0,0,0.689655172,,
Polyploidy hypothesis,PO,0.035714286,0.037037037,0.038461538,0.75862069,0.071428571,0,0,0,0,0.482758621,0.25,0,0,0,0,0,0,0.035714286,0,0.071428571,0.071428571,0.035714286,0.071428571,0.035714286,0.035714286,0.035714286,0.620689655,0,0.071428571,0.035714286,0.035714286,0,0,0.071428571,0.551724138,0.035714286,0.035714286,0,