index,Research Method,Continent,Measure of species similarity,Measure of invasion success,hypothesis,support for hypothesis,number of plant species,type of experiment,has research problem,Study date,same as,study,publication
Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration/Contribution 1,Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration
The role of diversity and functional traits of species in community invasibility/Contribution 1,Experimental,Asia,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Enclosure,Testing the limiting similarity hypothesis in invasion biology,2004,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",The role of diversity and functional traits of species in community invasibility/Contribution 1,The role of diversity and functional traits of species in community invasibility
Testing Fox's assembly rule: does plant invasion depend on recipient community structure?/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,101,Field,Testing the limiting similarity hypothesis in invasion biology,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Testing Fox's assembly rule: does plant invasion depend on recipient community structure?/Contribution 1,Testing Fox's assembly rule: does plant invasion depend on recipient community structure?
Is phylogenetic relatedness to native species important for the establishment of reptiles introduced to California and Florida?/Contribution 1,Observational or correlational,North America,Functional groups,Invasion Status from Database/ Expert judgement: Established,limiting similarity,Supported,,Field,Testing the limiting similarity hypothesis in invasion biology,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Is phylogenetic relatedness to native species important for the establishment of reptiles introduced to California and Florida?/Contribution 1,Is phylogenetic relatedness to native species important for the establishment of reptiles introduced to California and Florida?
Experimental invasion by legumes reveals non-random assembly rules in grassland communities/Contribution 1,Experimental,Europe,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Undecided,7,Field,Testing the limiting similarity hypothesis in invasion biology,2005,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Experimental invasion by legumes reveals non-random assembly rules in grassland communities/Contribution 1,Experimental invasion by legumes reveals non-random assembly rules in grassland communities
A test of the effects of functional group richness and composition on grassland invasibility/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,10,Field,Testing the limiting similarity hypothesis in invasion biology,2000,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",A test of the effects of functional group richness and composition on grassland invasibility/Contribution 1,A test of the effects of functional group richness and composition on grassland invasibility
Physiological and morphological traits of exotic- invasive exotic- and native plant species in tallgrass prairie/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,7,Field,Testing the limiting similarity hypothesis in invasion biology,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Physiological and morphological traits of exotic- invasive exotic- and native plant species in tallgrass prairie/Contribution 1,Physiological and morphological traits of exotic- invasive exotic- and native plant species in tallgrass prairie
Resistance of Native Plant Functional Groups to Invasion by Medusahead (Taeniatherum caput-medusae)/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Resistance of Native Plant Functional Groups to Invasion by Medusahead (Taeniatherum caput-medusae)/Contribution 1,Resistance of Native Plant Functional Groups to Invasion by Medusahead (Taeniatherum caput-medusae)
Grassland invader responses to realistic changes in native species richness/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Grassland invader responses to realistic changes in native species richness/Contribution 1,Grassland invader responses to realistic changes in native species richness
Plant functional group diversity as a mechanism for invasion resistance/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant functional group diversity as a mechanism for invasion resistance/Contribution 1,Plant functional group diversity as a mechanism for invasion resistance
OVERLAP OF FOOD AND MICROHABITAT PREFERENCES AMONG SOME NATIVE AND NONNATIVE SLUGS IN MID-ATLANTIC FORESTS OF EASTERN NORTH AMERICA/Contribution 1,Observational or correlational,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,0,Field,Testing the limiting similarity hypothesis in invasion biology,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",OVERLAP OF FOOD AND MICROHABITAT PREFERENCES AMONG SOME NATIVE AND NONNATIVE SLUGS IN MID-ATLANTIC FORESTS OF EASTERN NORTH AMERICA/Contribution 1,OVERLAP OF FOOD AND MICROHABITAT PREFERENCES AMONG SOME NATIVE AND NONNATIVE SLUGS IN MID-ATLANTIC FORESTS OF EASTERN NORTH AMERICA
Are competitive effects of native species on an invader mediated by water availability?/Contribution 1,Experimental,Oceania,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Lab,Testing the limiting similarity hypothesis in invasion biology,2012,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Are competitive effects of native species on an invader mediated by water availability?/Contribution 1,Are competitive effects of native species on an invader mediated by water availability?
Using prairie restoration to curtail invasion of Canada thistle: the importance of limiting similarity and seed mix richness/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,1,Field,Testing the limiting similarity hypothesis in invasion biology,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Using prairie restoration to curtail invasion of Canada thistle: the importance of limiting similarity and seed mix richness/Contribution 1,Using prairie restoration to curtail invasion of Canada thistle: the importance of limiting similarity and seed mix richness
Do alien plants on Mediterranean islands tend to invade different niches from native species?/Contribution 1,Observational or correlational,Europe,Functional groups,Expert Judgement: Naturalized,limiting similarity,Undecided,394,Field,Testing the limiting similarity hypothesis in invasion biology,2008,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Do alien plants on Mediterranean islands tend to invade different niches from native species?/Contribution 1,Do alien plants on Mediterranean islands tend to invade different niches from native species?
Establishment and Management of Native Functional Groups in Restoration/Contribution 1,Experimental/Observational or correlational,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,17,Field,Testing the limiting similarity hypothesis in invasion biology,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Establishment and Management of Native Functional Groups in Restoration/Contribution 1,Establishment and Management of Native Functional Groups in Restoration
Functional composition controls invasion success in a California serpentine grassland/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,3,Field,Testing the limiting similarity hypothesis in invasion biology,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Functional composition controls invasion success in a California serpentine grassland/Contribution 1,Functional composition controls invasion success in a California serpentine grassland
Assembly rules operating along a primary riverbed-grassland successional sequence/Contribution 1,Observational or correlational,Oceania,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2006,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Assembly rules operating along a primary riverbed-grassland successional sequence/Contribution 1,Assembly rules operating along a primary riverbed-grassland successional sequence
Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?/Contribution 1,Observational or correlational,Oceania,Functional traits,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,36,Field,Testing the limiting similarity hypothesis in invasion biology,2013,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?/Contribution 1,Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?
Early emergence and resource availability can competitively favour natives over a functionally similar invader/Contribution 1,Experimental,Oceania,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Lab,Testing the limiting similarity hypothesis in invasion biology,2010,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Early emergence and resource availability can competitively favour natives over a functionally similar invader/Contribution 1,Early emergence and resource availability can competitively favour natives over a functionally similar invader
Community assembly and invasion: An experimental test of neutral versus niche processes/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,13,Field,Testing the limiting similarity hypothesis in invasion biology,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Community assembly and invasion: An experimental test of neutral versus niche processes/Contribution 1,Community assembly and invasion: An experimental test of neutral versus niche processes
Species-rich Scandinavian grasslands are inherently open to invasion/Contribution 1,Experimental,Europe,Functional groups,Reproduction and survival,limiting similarity,Questioned,1,Field,Testing the limiting similarity hypothesis in invasion biology,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Species-rich Scandinavian grasslands are inherently open to invasion/Contribution 1,Species-rich Scandinavian grasslands are inherently open to invasion
Variation in resource acquisition and utilization traits between native and invasive perennial forbs/Contribution 1,Experimental,North America,Functional traits,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,4,Lab,Testing the limiting similarity hypothesis in invasion biology,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Variation in resource acquisition and utilization traits between native and invasive perennial forbs/Contribution 1,Variation in resource acquisition and utilization traits between native and invasive perennial forbs
Evidence of deterministic assembly according to flowering time in an old-field plant community/Contribution 1,Experimental,North America,Functional traits,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,22,Field,Testing the limiting similarity hypothesis in invasion biology,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Evidence of deterministic assembly according to flowering time in an old-field plant community/Contribution 1,Evidence of deterministic assembly according to flowering time in an old-field plant community
Role of species identity in plant invasions: experimental test using Imperata cylindrica/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Enclosure,Testing the limiting similarity hypothesis in invasion biology,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Role of species identity in plant invasions: experimental test using Imperata cylindrica/Contribution 1,Role of species identity in plant invasions: experimental test using Imperata cylindrica
Plant traits across different habitats of the Italian Alps: a comparative analysis between native and alien species/Contribution 1,Observational or correlational,Europe,Functional groups,Invasion status from database: Established,limiting similarity,Supported,107,Field,Testing the limiting similarity hypothesis in invasion biology,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Plant traits across different habitats of the Italian Alps: a comparative analysis between native and alien species/Contribution 1,Plant traits across different habitats of the Italian Alps: a comparative analysis between native and alien species
Plant traits across different habitats of the Italian Alps: a comparative analysis between native and alien species/Contribution 2,Observational or correlational,Europe,Functional traits,Invasion status from database: Established,limiting similarity,Undecided,107,Field,Testing the limiting similarity hypothesis in invasion biology,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Plant traits across different habitats of the Italian Alps: a comparative analysis between native and alien species/Contribution 2,Plant traits across different habitats of the Italian Alps: a comparative analysis between native and alien species
Establishment and Management of Native Functional Groups in Restoration/Contribution 2,Experimental/Observational or correlational,North America,Functional groups,Reproduction and survival,limiting similarity,Questioned,17,Field,Testing the limiting similarity hypothesis in invasion biology,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Establishment and Management of Native Functional Groups in Restoration/Contribution 2,Establishment and Management of Native Functional Groups in Restoration
Strengthening Invasion Filters to Reassemble Native Plant Communities: Soil Resources and Phenological Overlap/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,30,Field,Testing the limiting similarity hypothesis in invasion biology,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Strengthening Invasion Filters to Reassemble Native Plant Communities: Soil Resources and Phenological Overlap/Contribution 1,Strengthening Invasion Filters to Reassemble Native Plant Communities: Soil Resources and Phenological Overlap
Patterns of trait convergence and divergence among native and exotic species in herbaceous plant communities are not modified by nitrogen enrichment/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Undecided,88,Field,Testing the limiting similarity hypothesis in invasion biology,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Patterns of trait convergence and divergence among native and exotic species in herbaceous plant communities are not modified by nitrogen enrichment/Contribution 1,Patterns of trait convergence and divergence among native and exotic species in herbaceous plant communities are not modified by nitrogen enrichment
Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass/Contribution 1,Experimental,North America,Functional traits,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,2,Enclosure,Testing the limiting similarity hypothesis in invasion biology,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass/Contribution 1,Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass
Overlapping resource use in three Great Basin species: implications for community invasibility and vegetation dynamics/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Overlapping resource use in three Great Basin species: implications for community invasibility and vegetation dynamics/Contribution 1,Overlapping resource use in three Great Basin species: implications for community invasibility and vegetation dynamics
Using ecological restoration to constrain biological invasion/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Using ecological restoration to constrain biological invasion/Contribution 1,Using ecological restoration to constrain biological invasion
Identifying Native Vegetation for Reducing Exotic Species during the Restoration of Desert Ecosystems/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,2,Enclosure,Testing the limiting similarity hypothesis in invasion biology,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Identifying Native Vegetation for Reducing Exotic Species during the Restoration of Desert Ecosystems/Contribution 1,Identifying Native Vegetation for Reducing Exotic Species during the Restoration of Desert Ecosystems
