index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Measure of species relationship,Habitat,WOS search or Cited references,Investigated species,Number of species,has research problem,Study date,same as,study,publication
How strongly do interactions with closely-related native species influence plant invasions? Darwin's naturalization hypothesis assessed on Mediterranean islands/Contribution 1,Observational or correlational,Europe,Invasion Status from Database: Naturalized,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial,WOS search,Plants,862,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",How strongly do interactions with closely-related native species influence plant invasions? Darwin's naturalization hypothesis assessed on Mediterranean islands/Contribution 1,How strongly do interactions with closely-related native species influence plant invasions? Darwin's naturalization hypothesis assessed on Mediterranean islands
Is invasiveness a legacy of evolution? Phylogenetic patterns in the alien flora of Mediterranean islands/Contribution 1,Observational or correlational,Europe,Invasion Status from Database: Naturalized,Darwin's naturalisation,Questioned,Field,PNND,Terrestrial,Cited references,Plants,285,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2008,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Is invasiveness a legacy of evolution? Phylogenetic patterns in the alien flora of Mediterranean islands/Contribution 1,Is invasiveness a legacy of evolution? Phylogenetic patterns in the alien flora of Mediterranean islands
Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn- 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential/Contribution 1,Observational or correlational,South America,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Marine,WOS search,Molluscs,1,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,"['https://sws.geonames.org/6255150/', 'https://www.wikidata.org/entity/Q18']",Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn- 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential/Contribution 1,Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn- 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential
An experimental test of Darwin's naturalization hypothesis/Contribution 1,Experimental,North America,Herbivore Damage/Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Supported,Lab,PNND,Terrestrial,WOS search,Eubacteria-Archaea-viruses,1,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",An experimental test of Darwin's naturalization hypothesis/Contribution 1,An experimental test of Darwin's naturalization hypothesis
An experimental test of Darwin's naturalization hypothesis/Contribution 2,Experimental,North America,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Questioned,Lab,MPD,Terrestrial,WOS search,Eubacteria-Archaea-viruses,1,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",An experimental test of Darwin's naturalization hypothesis/Contribution 2,An experimental test of Darwin's naturalization hypothesis
Biotic interactions experienced by a new invader: effects of its close relatives at the community scale/Contribution 1,Experimental,North America,Herbivore Damage,Darwin's naturalisation,Questioned,Field/Lab,Number of species in the same genus,Terrestrial,Cited references,Plants,1,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Biotic interactions experienced by a new invader: effects of its close relatives at the community scale/Contribution 1,Biotic interactions experienced by a new invader: effects of its close relatives at the community scale
Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives/Contribution 1,Observational or correlational,North America,Herbivore Damage,Darwin's naturalisation,Questioned,Field,PNND,Terrestrial,WOS search,Plants,14,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives/Contribution 1,Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives
Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives/Contribution 2,Observational or correlational,North America,Herbivore Damage,Darwin's naturalisation,Questioned,Field,MPD,Terrestrial,WOS search,Plants,14,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives/Contribution 2,Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives
Evidence that phylogenetically novel non-indigenous plants experience less herbivory/Contribution 1,Observational or correlational,North America,Herbivore Damage,Darwin's naturalisation,Supported,Field/Enclosure,PNND,Terrestrial,WOS search,Plants,84,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Evidence that phylogenetically novel non-indigenous plants experience less herbivory/Contribution 1,Evidence that phylogenetically novel non-indigenous plants experience less herbivory
Evidence that phylogenetically novel non-indigenous plants experience less herbivory/Contribution 2,Observational or correlational,North America,Herbivore Damage,Darwin's naturalisation,Questioned,Field/Enclosure,MPD,Terrestrial,WOS search,Plants,84,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Evidence that phylogenetically novel non-indigenous plants experience less herbivory/Contribution 2,Evidence that phylogenetically novel non-indigenous plants experience less herbivory
Australian family ties: does a lack of relatives help invasive plants escape natural enemies?/Contribution 1,Observational or correlational,Oceania,Herbivore Damage,Darwin's naturalisation,Supported,Field,PNND,Terrestrial,Cited references,Plants,14,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Australian family ties: does a lack of relatives help invasive plants escape natural enemies?/Contribution 1,Australian family ties: does a lack of relatives help invasive plants escape natural enemies?
Establishment of introduced reptiles increases with the presence and richness of native congeners/Contribution 1,Observational or correlational,All continents except Antarctica,Invasion Status from Database: Established,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial/Freshwater/Marine,WOS search,Reptiles,405,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,,Establishment of introduced reptiles increases with the presence and richness of native congeners/Contribution 1,Establishment of introduced reptiles increases with the presence and richness of native congeners
Darwin's Naturalization Hypothesis assessed in the alien flora of continental Chile/Contribution 1,Observational or correlational,South America,Invasion Status from Database/ Expert judgement: Established,Darwin's naturalisation,Questioned,Field,Number of species in the same family,Terrestrial,WOS search,Plants,236,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255150/', 'https://www.wikidata.org/entity/Q18']",Darwin's Naturalization Hypothesis assessed in the alien flora of continental Chile/Contribution 1,Darwin's Naturalization Hypothesis assessed in the alien flora of continental Chile
Darwin's Naturalization Hypothesis assessed in the alien flora of continental Chile/Contribution 2,Observational or correlational,South America,Invasion Status from Database/ Expert judgement: Established,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial,WOS search,Plants,169,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255150/', 'https://www.wikidata.org/entity/Q18']",Darwin's Naturalization Hypothesis assessed in the alien flora of continental Chile/Contribution 2,Darwin's Naturalization Hypothesis assessed in the alien flora of continental Chile
Ecology: Darwin's naturalization hypothesis challenged/Contribution 1,Observational or correlational,Oceania,Invasion Status from Database: Naturalized,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial,Cited references,Plants,24774,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2002,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Ecology: Darwin's naturalization hypothesis challenged/Contribution 1,Ecology: Darwin's naturalization hypothesis challenged
Enemy damage of exotic plant species is similar to that of natives and increases with productivity/Contribution 1,Experimental,Europe,Herbivore Damage,Darwin's naturalisation,Supported,Field,PNND,Terrestrial,Cited references,Plants,9,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Enemy damage of exotic plant species is similar to that of natives and increases with productivity/Contribution 1,Enemy damage of exotic plant species is similar to that of natives and increases with productivity
Enemy damage of exotic plant species is similar to that of natives and increases with productivity/Contribution 2,Experimental,Europe,Herbivore Damage,Darwin's naturalisation,Supported,Field,MPD,Terrestrial,Cited references,Plants,9,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Enemy damage of exotic plant species is similar to that of natives and increases with productivity/Contribution 2,Enemy damage of exotic plant species is similar to that of natives and increases with productivity
Does relatedness of natives used for soil conditioning influence plant-soil feedback of exotics?/Contribution 1,Experimental,Europe,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Undecided,Lab,Number of species in the same genus,Terrestrial,Cited references,Plants,3,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Does relatedness of natives used for soil conditioning influence plant-soil feedback of exotics?/Contribution 1,Does relatedness of natives used for soil conditioning influence plant-soil feedback of exotics?
Learning from failures: testing broad taxonomic hypotheses about plant naturalization/Contribution 1,Observational or correlational,Oceania,Invasion Status from Database: Naturalized,Darwin's naturalisation,Questioned,Field,Number of species in the same family,Terrestrial,WOS search,Plants,12927,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2009,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Learning from failures: testing broad taxonomic hypotheses about plant naturalization/Contribution 1,Learning from failures: testing broad taxonomic hypotheses about plant naturalization
Darwin's naturalization hypothesis revisited/Contribution 1,Observational or correlational,Oceania,Invasion Status from Database: Naturalized,Darwin's naturalisation,Questioned,Field,Number of species in the same family,Terrestrial,Cited references,Plants,13,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2001,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Darwin's naturalization hypothesis revisited/Contribution 1,Darwin's naturalization hypothesis revisited
Darwin's naturalization hypothesis revisited/Contribution 2,Observational or correlational,Oceania,Invasion Status from Database: Established,Darwin's naturalisation,Undecided,Field,Number of species in the same genus,Terrestrial,WOS search,Plants,847,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Darwin's naturalization hypothesis revisited/Contribution 2,Darwin's naturalization hypothesis revisited
Darwin's naturalization hypothesis: scale matters in coastal plant communities/Contribution 1,Observational or correlational,Europe,Invasion Status from Database/ Expert judgement: Naturalized,Darwin's naturalisation,Supported,Field,PNND,Terrestrial,WOS search,Plants,51,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Darwin's naturalization hypothesis: scale matters in coastal plant communities/Contribution 1,Darwin's naturalization hypothesis: scale matters in coastal plant communities
Darwin's naturalization hypothesis: scale matters in coastal plant communities/Contribution 2,Observational or correlational,Europe,Invasion Status from Database/ Expert judgement: Invasive,Darwin's naturalisation,Supported,Field,MPD,Terrestrial,WOS search,Plants,51,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Darwin's naturalization hypothesis: scale matters in coastal plant communities/Contribution 2,Darwin's naturalization hypothesis: scale matters in coastal plant communities
A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 1,Observational or correlational,Africa,Invasion Status from Database/ Expert judgement: Invasive,Darwin's naturalisation,Supported,Field,PNND,Terrestrial,WOS search,Plants,83,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255146/', 'https://www.wikidata.org/entity/Q15']",A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 1,A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa
A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 2,Observational or correlational,Africa,Invasion Status from Database/ Expert judgement: Invasive,Darwin's naturalisation,Supported,Field,MPD,Terrestrial,WOS search,Plants,83,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255146/', 'https://www.wikidata.org/entity/Q15']",A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 2,A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa
Patterns of phylogenetic diversity are linked to invasion impacts- not invasion resistance- in a native grassland/Contribution 1,Experimental,North America,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Questioned,Field,MPD,Terrestrial,Cited references,Plants,1,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Patterns of phylogenetic diversity are linked to invasion impacts- not invasion resistance- in a native grassland/Contribution 1,Patterns of phylogenetic diversity are linked to invasion impacts- not invasion resistance- in a native grassland
Predictors of regional establishment success and spread of introduced non-indigenous vertebrates/Contribution 1,Observational or correlational,North America,Invasion Status from Database: Established,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial/Freshwater/Marine,Cited references,Fishes-Amphibians-Reptiles-Birds-Mammals,224,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Predictors of regional establishment success and spread of introduced non-indigenous vertebrates/Contribution 1,Predictors of regional establishment success and spread of introduced non-indigenous vertebrates
How many- and which- plants will invade natural areas? /Contribution 2,Observational or correlational,North America,Invasion Status from Database: Invasive,Darwin's naturalisation,Supported,Field,Number of species in the same genus,Terrestrial,Cited references,Plants,2754,Testing the Darwin's naturalisation hypothesis in invasion biology,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",How many- and which- plants will invade natural areas? /Contribution 2,How many- and which- plants will invade natural areas? 
